EventID,渲染Pass,DrawName,索引数,实例数,三角面数,Indirect
2116,Velocity,vkCmdDrawIndexed(),642,1,214,
2363,Mobile_PreOutline_Pass,vkCmdDrawIndexed(),642,1,214,
3532,MobileBasePass,vkCmdDrawIndexed(),642,1,214,
1130,MobileRenderPrePass,vkCmdDrawIndexed(),600,1,200,
2557,MobileBasePass,vkCmdDrawIndexed(),600,1,200,
1525,MobileRenderPrePass,vkCmdDrawIndexed(),591,1,197,
3230,MobileBasePass,vkCmdDrawIndexed(),591,1,197,
1308,MobileRenderPrePass,vkCmdDrawIndexed(),588,1,196,
2926,MobileBasePass,vkCmdDrawIndexed(),588,1,196,
1420,MobileRenderPrePass,vkCmdDrawIndexed(),576,1,192,
2774,MobileBasePass,vkCmdDrawIndexed(),576,1,192,
1146,MobileRenderPrePass,vkCmdDrawIndexed(),564,1,188,
2687,MobileBasePass,vkCmdDrawIndexed(),564,1,188,
1353,MobileRenderPrePass,vkCmdDrawIndexed(),555,1,185,
3121,MobileBasePass,vkCmdDrawIndexed(),555,1,185,
1325,MobileRenderPrePass,vkCmdDrawIndexed(),552,1,184,
2751,MobileBasePass,vkCmdDrawIndexed(),552,1,184,
4559,ElementBatch,vkCmdDrawIndexed(),552,1,184,
1432,MobileRenderPrePass,vkCmdDrawIndexed(),537,1,179,
2953,MobileBasePass,vkCmdDrawIndexed(),537,1,179,
2453,MobileBasePass,vkCmdDrawIndexed(),267,2,178,
1084,MobileRenderPrePass,vkCmdDrawIndexed(),498,1,166,
2900,MobileBasePass,vkCmdDrawIndexed(),498,1,166,
1297,MobileRenderPrePass,vkCmdDrawIndexed(),240,2,160,
2822,MobileBasePass,vkCmdDrawIndexed(),240,2,160,
968,MobileRenderPrePass,vkCmdDrawIndexed(),474,1,158,
1811,MobileRenderPrePass,vkCmdDrawIndexed(),474,1,158,
2480,MobileBasePass,vkCmdDrawIndexed(),474,1,158,
3500,MobileBasePass,vkCmdDrawIndexed(),474,1,158,
1115,MobileRenderPrePass,vkCmdDrawIndexed(),471,1,157,
2536,MobileBasePass,vkCmdDrawIndexed(),471,1,157,
1736,MobileRenderPrePass,vkCmdDrawIndexed(),456,1,152,
2809,MobileBasePass,vkCmdDrawIndexed(),456,1,152,
938,MobileRenderPrePass,vkCmdDrawIndexed(),450,1,150,
2466,MobileBasePass,vkCmdDrawIndexed(),450,1,150,
1612,MobileRenderPrePass,vkCmdDrawIndexed(),432,1,144,
1823,MobileRenderPrePass,vkCmdDrawIndexed(),432,1,144,
3362,MobileBasePass,vkCmdDrawIndexed(),432,1,144,
3506,MobileBasePass,vkCmdDrawIndexed(),432,1,144,
1502,MobileRenderPrePass,vkCmdDrawIndexed(),429,1,143,
3217,MobileBasePass,vkCmdDrawIndexed(),429,1,143,
1963,MobileRenderPrePass,vkCmdDrawIndexed(),390,1,130,
3726,MobileBasePass,vkCmdDrawIndexed(),390,1,130,
1880,MobileRenderPrePass,vkCmdDrawIndexed(),384,1,128,
3617,MobileBasePass,vkCmdDrawIndexed(),384,1,128,
1646,MobileRenderPrePass,vkCmdDrawIndexed(),378,1,126,
3368,MobileBasePass,vkCmdDrawIndexed(),378,1,126,
1274,MobileRenderPrePass,vkCmdDrawIndexed(),366,1,122,
3107,MobileBasePass,vkCmdDrawIndexed(),366,1,122,
1601,MobileRenderPrePass,vkCmdDrawIndexed(),339,1,113,
3350,MobileBasePass,vkCmdDrawIndexed(),339,1,113,
1447,MobileRenderPrePass,vkCmdDrawIndexed(),336,1,112,
2005,MobileRenderPrePass,vkCmdDrawIndexed(),336,1,112,
2963,MobileBasePass,vkCmdDrawIndexed(),336,1,112,
3768,MobileBasePass,vkCmdDrawIndexed(),336,1,112,
1341,MobileRenderPrePass,vkCmdDrawIndexed(),330,1,110,
3079,MobileBasePass,vkCmdDrawIndexed(),330,1,110,
1262,MobileRenderPrePass,vkCmdDrawIndexed(),312,1,104,
2644,MobileBasePass,vkCmdDrawIndexed(),312,1,104,
723,MMHRenderShadowDepths(Non-Nanite),"vkCmdDrawIndexedIndirect(1) => <75, 4>",75,4,100,是
1490,MobileRenderPrePass,vkCmdDrawIndexed(),300,1,100,
3174,MobileBasePass,vkCmdDrawIndexed(),300,1,100,
1404,MobileRenderPrePass,vkCmdDrawIndexed(),282,1,94,
1699,MobileRenderPrePass,vkCmdDrawIndexed(),282,1,94,
1957,MobileRenderPrePass,vkCmdDrawIndexed(),282,1,94,
2763,MobileBasePass,vkCmdDrawIndexed(),282,1,94,
3407,MobileBasePass,vkCmdDrawIndexed(),282,1,94,
3720,MobileBasePass,vkCmdDrawIndexed(),282,1,94,
872,MobileRenderPrePass,vkCmdDrawIndexed(),276,1,92,
3148,MobileBasePass,vkCmdDrawIndexed(),276,1,92,
4551,ElementBatch,vkCmdDrawIndexed(),276,1,92,
1062,MobileRenderPrePass,vkCmdDrawIndexed(),264,1,88,
3260,MobileBasePass,vkCmdDrawIndexed(),264,1,88,
1442,MobileRenderPrePass,vkCmdDrawIndexed(),258,1,86,
1564,MobileRenderPrePass,vkCmdDrawIndexed(),258,1,86,
2958,MobileBasePass,vkCmdDrawIndexed(),258,1,86,
3331,MobileBasePass,vkCmdDrawIndexed(),258,1,86,
920,MobileRenderPrePass,vkCmdDrawIndexed(),252,1,84,
3003,MobileBasePass,vkCmdDrawIndexed(),252,1,84,
1359,MobileRenderPrePass,vkCmdDrawIndexed(),240,1,80,
2828,MobileBasePass,vkCmdDrawIndexed(),240,1,80,
1193,MobileRenderPrePass,vkCmdDrawIndexed(),234,1,78,
1630,MobileRenderPrePass,vkCmdDrawIndexed(),234,1,78,
2722,MobileBasePass,vkCmdDrawIndexed(),234,1,78,
2980,MobileBasePass,vkCmdDrawIndexed(),234,1,78,
1376,MobileRenderPrePass,vkCmdDrawIndexed(),228,1,76,
2942,MobileBasePass,vkCmdDrawIndexed(),228,1,76,
1715,MobileRenderPrePass,vkCmdDrawIndexed(),213,1,71,
3287,MobileBasePass,vkCmdDrawIndexed(),213,1,71,
4531,ElementBatch,vkCmdDrawIndexed(),210,1,70,
4686,ElementBatch,vkCmdDrawIndexed(),210,1,70,
1120,MobileRenderPrePass,vkCmdDrawIndexed(),207,1,69,
2543,MobileBasePass,vkCmdDrawIndexed(),207,1,69,
1673,MobileRenderPrePass,vkCmdDrawIndexed(),204,1,68,
3305,MobileBasePass,vkCmdDrawIndexed(),204,1,68,
1554,MobileRenderPrePass,vkCmdDrawIndexed(),201,1,67,
2969,MobileBasePass,vkCmdDrawIndexed(),201,1,67,
1152,MobileRenderPrePass,vkCmdDrawIndexed(),195,1,65,
2693,MobileBasePass,vkCmdDrawIndexed(),195,1,65,
4374,ElementBatch,vkCmdDrawIndexed(),186,1,62,
1067,MobileRenderPrePass,vkCmdDrawIndexed(),183,1,61,
3294,MobileBasePass,vkCmdDrawIndexed(),183,1,61,
1157,MobileRenderPrePass,vkCmdDrawIndexed(),180,1,60,
1163,MobileRenderPrePass,vkCmdDrawIndexed(),90,2,60,
1720,MobileRenderPrePass,vkCmdDrawIndexed(),180,1,60,
1900,MobileRenderPrePass,vkCmdDrawIndexed(),180,1,60,
2584,MobileBasePass,vkCmdDrawIndexed(),90,2,60,
2698,MobileBasePass,vkCmdDrawIndexed(),180,1,60,
3311,MobileBasePass,vkCmdDrawIndexed(),180,1,60,
3656,MobileBasePass,vkCmdDrawIndexed(),180,1,60,
1606,MobileRenderPrePass,vkCmdDrawIndexed(),174,1,58,
1873,MobileRenderPrePass,vkCmdDrawIndexed(),174,1,58,
1894,MobileRenderPrePass,vkCmdDrawIndexed(),174,1,58,
3355,MobileBasePass,vkCmdDrawIndexed(),174,1,58,
3611,MobileBasePass,vkCmdDrawIndexed(),174,1,58,
3650,MobileBasePass,vkCmdDrawIndexed(),174,1,58,
1204,MobileRenderPrePass,vkCmdDrawIndexed(),84,2,56,
1409,MobileRenderPrePass,vkCmdDrawIndexed(),168,1,56,
2596,MobileBasePass,vkCmdDrawIndexed(),168,1,56,
2733,MobileBasePass,vkCmdDrawIndexed(),84,2,56,
4370,ElementBatch,vkCmdDrawIndexed(),162,1,54,
1663,MobileRenderPrePass,vkCmdDrawIndexed(),144,1,48,
1678,MobileRenderPrePass,vkCmdDrawIndexed(),144,1,48,
1867,MobileRenderPrePass,vkCmdDrawIndexed(),144,1,48,
3161,MobileBasePass,vkCmdDrawIndexed(),144,1,48,
3271,MobileBasePass,vkCmdDrawIndexed(),144,1,48,
3605,MobileBasePass,vkCmdDrawIndexed(),144,1,48,
1683,MobileRenderPrePass,vkCmdDrawIndexed(),141,1,47,
1710,MobileRenderPrePass,vkCmdDrawIndexed(),141,1,47,
3282,MobileBasePass,vkCmdDrawIndexed(),141,1,47,
3393,MobileBasePass,vkCmdDrawIndexed(),141,1,47,
1973,MobileRenderPrePass,vkCmdDrawIndexed(),138,1,46,
3736,MobileBasePass,vkCmdDrawIndexed(),138,1,46,
1618,MobileRenderPrePass,vkCmdDrawIndexed(),132,1,44,
3248,MobileBasePass,vkCmdDrawIndexed(),132,1,44,
1640,MobileRenderPrePass,vkCmdDrawIndexed(),126,1,42,
2990,MobileBasePass,vkCmdDrawIndexed(),126,1,42,
1014,MobileRenderPrePass,vkCmdDrawIndexed(),60,2,40,
1030,MobileRenderPrePass,vkCmdDrawIndexed(),120,1,40,
1574,MobileRenderPrePass,vkCmdDrawIndexed(),120,1,40,
2434,MobileBasePass,vkCmdDrawIndexed(),120,1,40,
2675,MobileBasePass,vkCmdDrawIndexed(),60,2,40,
2974,MobileBasePass,vkCmdDrawIndexed(),120,1,40,
1239,MobileRenderPrePass,vkCmdDrawIndexed(),117,1,39,
3054,MobileBasePass,vkCmdDrawIndexed(),117,1,39,
1313,MobileRenderPrePass,vkCmdDrawIndexed(),111,1,37,
2931,MobileBasePass,vkCmdDrawIndexed(),111,1,37,
1414,MobileRenderPrePass,vkCmdDrawIndexed(),108,1,36,
1586,MobileRenderPrePass,vkCmdDrawIndexed(),108,1,36,
2012,MobileRenderPrePass,vkCmdDrawIndexed(),108,1,36,
2768,MobileBasePass,vkCmdDrawIndexed(),108,1,36,
3015,MobileBasePass,vkCmdDrawIndexed(),108,1,36,
3775,MobileBasePass,vkCmdDrawIndexed(),108,1,36,
1125,MobileRenderPrePass,vkCmdDrawIndexed(),105,1,35,
2550,MobileBasePass,vkCmdDrawIndexed(),105,1,35,
996,MobileRenderPrePass,vkCmdDrawIndexed(),102,1,34,
2487,MobileBasePass,vkCmdDrawIndexed(),102,1,34,
1135,MobileRenderPrePass,vkCmdDrawIndexed(),99,1,33,
2564,MobileBasePass,vkCmdDrawIndexed(),99,1,33,
1078,MobileRenderPrePass,vkCmdDrawIndexed(),90,1,30,
1688,MobileRenderPrePass,vkCmdDrawIndexed(),90,1,30,
2614,MobileBasePass,vkCmdDrawIndexed(),90,1,30,
2894,MobileBasePass,vkCmdDrawIndexed(),90,1,30,
1668,MobileRenderPrePass,vkCmdDrawIndexed(),87,1,29,
3300,MobileBasePass,vkCmdDrawIndexed(),87,1,29,
1099,MobileRenderPrePass,vkCmdDrawIndexed(),84,1,28,
1268,MobileRenderPrePass,vkCmdDrawIndexed(),84,1,28,
1514,MobileRenderPrePass,vkCmdDrawIndexed(),84,1,28,
2038,Velocity,vkCmdDrawIndexed(),6,14,28,
2739,MobileBasePass,vkCmdDrawIndexed(),84,1,28,
2797,MobileBasePass,vkCmdDrawIndexed(),84,1,28,
2915,MobileBasePass,vkCmdDrawIndexed(),84,1,28,
3631,MobileBasePass,vkCmdDrawIndexed(),6,14,28,
4543,ElementBatch,vkCmdDrawIndexed(),84,1,28,
4690,ElementBatch,vkCmdDrawIndexed(),78,1,26,
1968,MobileRenderPrePass,vkCmdDrawIndexed(),75,1,25,
2072,Velocity,vkCmdDrawIndexed(),75,1,25,
2632,MobileBasePass,vkCmdDrawIndexed(),75,1,25,
3731,MobileBasePass,vkCmdDrawIndexed(),75,1,25,
1227,MobileRenderPrePass,vkCmdDrawIndexed(),72,1,24,
